Location,Code,PM2.5_Avg_2019,PM2.5_Change_2010_2019,Entity_x,2021 [YR2021]_9020000:ACTUAL INDIVIDUAL CONSUMPTION,Mean Growth 2017-2021_9020000:ACTUAL INDIVIDUAL CONSUMPTION,Entity_y,Death Rate,Mean Growth Rate (%),Entity,Urban population (% of total population),Mean Growth (2012-2022)
Iceland,ISL,0.0101108243509943,0.4204522951404015,Iceland,0.0036237218338924,0.0064900562538293,Iceland,20.346622,3.0736920971921022,Iceland,93.992,93.78272727272726
Iran (Islamic Republic of),IRN,0.4144375284651587,0.5509921184997426,"Iran, Islamic Rep.",1.0,1.0,Iran,27.72346,10.112702297243423,Iran,76.807,74.34790909090908
Iraq,IRQ,0.5533475026567483,0.4846528575389122,Iraq,0.0124970388172143,0.0214138399104722,Iraq,11.972445,-1.5457125149287263,Iraq,71.354,70.32681818181818
Ireland,IRL,0.0450888112949749,0.4001346587983681,Ireland,1.74708467750233e-05,3.138162007871501e-05,Ireland,23.682442,-2.419146473755269,Ireland,64.183,62.99709090909092
Israel,ISR,0.2114619705480492,0.2822686046972155,Israel,8.54102919078279e-05,0.0001579362251323,Israel,18.130642,-0.26785167391947,Israel,92.763,92.34627272727272
Italy,ITA,0.1333839380598148,0.2364054021941461,Italy,1.0823051284710997e-05,2.1208592655724844e-05,Italy,17.506481,1.0815070851985815,Italy,71.657,70.15590909090909
Jamaica,JAM,0.1509184757856383,0.4864747118697768,Jamaica,0.0019195270915628,0.0030368575801302,Jamaica,21.020708,-1.1772766264844248,Jamaica,57.008,55.455
Japan,JPN,0.0807955063002884,0.3340726365400609,Japan,0.0023167802236429,0.0042689692402327,Japan,15.839136,0.1181278773881312,Japan,91.955,91.54263636363636
Jordan,JOR,0.3151055108547138,0.5204166501643627,Jordan,2.8734569817071643e-06,5.267074847578839e-06,Jordan,9.520145,-5.055356307374968,Jordan,91.827,90.5338181818182
Kazakhstan,KAZ,0.4058600273265523,0.2430591310546952,Kazakhstan,0.0029329401354458,0.0048324215415601,Kazakhstan,47.008163,2.0715275097362738,Kazakhstan,57.99,57.398
Kuwait,KWT,0.8782146652497346,0.362390589726326,Kuwait,1.0056046824600854e-07,3.41798415661402e-07,Kuwait,7.750436,-1.373829026241021,Kuwait,100.0,100.0
Kyrgyzstan,KGZ,0.5260816760285411,0.0985385559824148,Kyrgyz Republic,0.0004753073887231,0.0007416714755054,Kyrgyzstan,28.668758,-6.447629893297721,Kyrgyzstan,37.461,36.25781818181818
Latvia,LVA,0.1107028996508273,0.2787833181512138,Latvia,6.969957780180841e-06,1.2758609249640232e-05,Latvia,7.990559,-0.4889021879585324,Latvia,68.54,68.13545454545455
Lebanon,LBN,0.2976013359647791,0.468216563032199,Lebanon,0.0984472784606418,0.0624722503080772,Lebanon,19.608175,16.989887583426764,Lebanon,89.262,88.43681818181818
Lithuania,LTU,0.0847578563837862,0.3161709374628697,Lithuania,5.630514986140301e-06,1.029894051426668e-05,Lithuania,8.547288,-3.939643287026229,Lithuania,68.465,67.57854545454546
Luxembourg,LUX,0.0533323212388036,0.3313794605726958,Luxembourg,1.8557751332350497e-05,3.36225660371669e-05,Luxembourg,16.172234,-0.2622716568007006,Luxembourg,91.881,90.6620909090909
Malaysia,MYS,0.248398360406862,0.4165313477761493,Malaysia,2.9963417657455662e-05,5.548825663047129e-05,Malaysia,21.535225,2.212483828626984,Malaysia,78.214,75.36318181818181
Maldives,MDV,0.1269773796872628,0.4463147055328922,Maldives,0.0002070025358996,0.0003666874159749,Maldives,57.430252,16.7160692179792,Maldives,41.536,39.38854545454546
Malta,MLT,0.1040686200091088,0.307972592973979,Malta,9.071355660203093e-06,1.698597472122087e-05,Malta,15.336472,3.083813277168786,Malta,94.875,94.54509090909092
Mauritius,MUS,0.0800819796568999,0.462592577923878,Mauritius,0.0003924133457815,0.0006881053308404,Mauritius,23.449173,-3.020667624631061,Mauritius,40.81,40.93818181818182
Mexico,MEX,0.1853954759374526,0.3046853340726364,Mexico,0.0002196421823137,0.0003763069126645,Mexico,24.335217,-2.137013627361166,Mexico,81.3,79.86118181818182
Mongolia,MNG,0.6051009564293306,0.181432928036754,Mongolia,0.0194274104284897,0.0337977803838102,Mongolia,17.804384,5.7260436349223935,Mongolia,68.93,68.41272727272727
Montenegro,MNE,0.2056626688932746,0.2107410194463146,Montenegro,3.450017619197889e-06,6.906009970263418e-06,Montenegro,18.978937,-3.0852690454855445,Montenegro,68.164,66.47972727272727
Netherlands (Kingdom of the),NLD,0.0803097009260665,0.2998930650718839,Netherlands,1.3683656750667585e-05,2.575475953306938e-05,Netherlands,18.8752,-1.0276425130009752,Netherlands,92.886,90.94636363636364
New Zealand,NZL,0.0492029755579171,0.4397005822012751,New Zealand,2.816226843674797e-05,5.08243976000378e-05,New Zealand,22.923424,-1.3145239608115875,New Zealand,86.884,86.49045454545454
Nicaragua,NIC,0.1761196295734021,0.278466473919759,Nicaragua,0.0002533845618931,0.0004358316076563,Nicaragua,34.198242,4.7575844172595225,Nicaragua,59.556,58.35681818181818
North Macedonia,MKD,0.3252618794595416,0.0611905421996908,North Macedonia,0.000409890547555,0.0007689073263072,North Macedonia,23.90469,2.592619182111284,North Macedonia,59.118,57.897636363636366
Norway,NOR,0.0208896310915439,0.3973226662442076,Norway,0.000230547004383,0.0004177571098729,Norway,22.966957,-0.0350524864548982,Norway,83.664,81.82945454545455
Oman,OMN,0.5196902990739336,0.4098776189156007,Oman,1.420928785347324e-07,5.920630229459729e-07,Oman,13.249516,3.5183938072848613,Oman,87.75,83.18663636363637
Panama,PAN,0.1018369515712767,0.3692819517604656,Panama,7.702142663706845e-06,1.2521058016793424e-05,Panama,17.492952,-2.016409375102772,Panama,69.141,67.39545454545454
Paraguay,PRY,0.1261727645362077,0.2952592181868588,Paraguay,0.0598628698501246,0.1007498970071,Paraguay,24.783642,4.102871517269242,Paraguay,62.818,61.32863636363636
Peru,PER,0.3832397145893427,0.4612855954691275,Peru,3.63009113913988e-05,6.4796412400759e-05,Peru,28.67177,-0.8999152190583793,Peru,78.708,77.73572727272727
Philippines,PHL,0.2643843935023532,0.3812428214978811,Philippines,0.0004486794498185,0.0007911733284308,Philippines,44.22702,-2.3131032657295103,Philippines,47.977,46.75218181818182
Poland,POL,0.2095794747229391,0.1606400253475384,Poland,3.414851479756311e-05,6.0917881824143775e-05,Poland,11.623945,-0.6099444371324012,Poland,60.134,60.22672727272728
Portugal,PRT,0.0302717473812054,0.3410036041031327,Portugal,8.600235253312401e-06,1.6592439843026977e-05,Portugal,18.871534,-1.654856863168604,Portugal,67.381,64.61981818181818
Qatar,QAT,0.795506300288447,0.2745059210265749,Qatar,5.827516674190958e-05,0.0001006422322647,Qatar,20.691072,7.597305865062223,Qatar,99.318,99.04927272727272
Republic of Korea,KOR,0.2821921967511765,0.2400491108558752,"Korea, Rep.",0.020507164417483,0.0371534580260201,South Korea,11.881792,-4.33529759049213,South Korea,81.427,81.56181818181818
Republic of Moldova,MDA,0.1138302717473812,0.2850805972513761,Moldova,0.0001272488574191,0.0002205684606297,Moldova,12.983285,-8.882493389039045,Moldova,43.173,42.68309090909091
Romania,ROU,0.1252770608774859,0.2735949938611429,Romania,3.238501306983564e-05,5.85803831257951e-05,Romania,21.130419,0.6337348505383306,Romania,54.489,54.05709090909091
Saint Lucia,LCA,0.0578298163048428,0.4851875321794922,St. Lucia,3.035659390400538e-05,6.16075898812126e-05,Saint Lucia,27.788172,3.627507816354377,Saint Lucia,19.05,18.667363636363635
Saint Vincent and the Grenadines,VCT,0.064243965386367,0.5021188957978532,St. Vincent and the Grenadines,3.2060013031004405e-05,5.9412132716053e-05,Saint Vincent and the Grenadines,22.311518,5.239194281557337,Saint Vincent and the Grenadines,53.875,51.79618181818182
Saudi Arabia,SAU,0.8349779869439807,0.4540773892035329,Saudi Arabia,4.16834578261678e-05,6.985110928046385e-05,Saudi Arabia,14.67218,7.64392337625075,Saudi Arabia,84.729,83.62327272727272
Serbia,SRB,0.2506907545164719,0.163887678719949,Serbia,0.0009508683849745,0.0016780823213736,Serbia,22.217733,-0.7511397484537687,Serbia,56.873,56.01618181818182
Seychelles,SYC,0.1900979201457416,0.4362251970375063,Seychelles,0.0002010340668193,0.0003335123224093,Seychelles,22.012829,14.090243077788644,Seychelles,58.396,56.25836363636363
Singapore,SGP,0.1179292545923789,0.3314685730127924,Singapore,1.902574357839996e-05,3.477648346857029e-05,Singapore,6.746888,-4.323736547611515,Singapore,100.0,100.0
Slovakia,SVK,0.1631395172309094,0.2339498594003721,Slovak Republic,7.08710438368197e-06,1.3920819758909038e-05,Slovakia,10.160028,-3.624061782872776,Slovakia,53.909,53.891818181818174
Slovenia,SVN,0.1387581600121451,0.2409204324923759,Slovenia,8.662686097946732e-06,1.6449024173353126e-05,Slovenia,8.055025,-4.043391396952709,Slovenia,55.751,54.33909090909091
South Africa,ZAF,0.212221041445271,0.5006138856984433,South Africa,0.0001648428275249,0.0002749983550511,South Africa,48.59029,-2.62193387230536,South Africa,68.335,65.83118181818182
Spain,ESP,0.0604068620009108,0.3335973701928788,Spain,1.0155415796468987e-05,1.94336834442754e-05,Spain,18.200562,-4.155307696954691,Spain,81.304,80.089
Sri Lanka,LKA,0.29206011841506,0.4067091766010535,Sri Lanka,0.0012182284348983,0.0020522963390968,Sri Lanka,40.843456,-2.885108422826965,Sri Lanka,19.026,18.474818181818183
Suriname,SUR,0.1164414756338242,0.4924155412095527,Suriname,0.000126373612905,0.0001395351326191,Suriname,16.085361,2.092298190596747,Suriname,66.307,66.12763636363637
Sweden,SWE,0.0109609837558827,0.4019565131292327,Sweden,0.0002031819488604,0.0003784670193974,Sweden,14.302055,-0.3085856134542054,Sweden,88.492,87.10909090909091
Switzerland,CHE,0.054319113405192,0.318309636025189,Switzerland,2.41683501036154e-05,4.661821159160835e-05,Switzerland,10.605172,-1.9100243857221904,Switzerland,74.092,73.80818181818182
Syrian Arab Republic,SYR,0.3085623197206619,0.4735237039090655,Syrian Arab Republic,0.0105852300709803,0.0109564601062733,Syria,26.258167,4.983514782578323,Syria,56.769,53.94890909090909
Tajikistan,TJK,0.8143768027933811,0.0,Tajikistan,5.764868616363037e-05,9.309453737222902e-05,Tajikistan,14.924174,-36.11535509087652,Tajikistan,27.968,27.091545454545454
Thailand,THA,0.2963868225292242,0.3863519347300881,Thailand,0.0002499423769667,0.0004646437054444,Thailand,13.508334,-4.767638753614951,Thailand,52.889,49.18600000000001
Trinidad and Tobago,TTO,0.0752542887505693,0.4701572339498592,Trinidad and Tobago,8.434328987001523e-05,0.0001570166163796,Trinidad and Tobago,19.756199,-0.4368388503430876,Trinidad and Tobago,53.34,53.325272727272726
Turkmenistan,TKM,0.3457719751024746,0.2178700146540456,Turkmenistan,2.937106170399748e-05,5.164639334663109e-05,Turkmenistan,16.24148,-1.5891545323870024,Turkmenistan,53.494,51.22581818181818
Türkiye,TUR,0.2707757704569607,0.4447304843756186,Turkiye,5.379789347969186e-05,6.906534301342808e-05,Turkey,33.09035,0.3087266538034261,Turkey,77.022,74.58545454545455
Ukraine,UKR,0.1371489297100349,0.2756148758366668,Ukraine,0.0001646407373783,0.0002669403152214,Ukraine,8.038818,-10.37507707379495,Ukraine,69.919,69.29045454545455
United Arab Emirates,ARE,0.5504630332473055,0.3906689373836589,United Arab Emirates,5.791794116826967e-05,9.788695627384444e-05,United Arab Emirates,17.70592,20.909240790632488,United Arab Emirates,87.543,86.20709090909091
United Kingdom of Great Britain and Northern Ireland,GBR,0.0581751935630787,0.330587349994059,United Kingdom,1.1949075410708138e-05,2.2674711209881705e-05,United Kingdom,25.443394,-1.9604918806371296,United Kingdom,84.398,83.1329090909091
United States of America,USA,0.0268103840898739,0.3855598241514514,United States,1.903809047278449e-05,3.398574901654651e-05,United States,30.106623,-1.3496665043225071,United States,83.084,82.07527272727272
Uruguay,URY,0.051358736906027,0.4437403461523227,Uruguay,0.0006039559263999,0.0010259539459036,Uruguay,27.665596,-2.009238879252372,Uruguay,95.688,95.22927272727271
Uzbekistan,UZB,0.609503567633217,0.0925977266426391,Uzbekistan,0.0569933163439933,0.0774128206769546,Uzbekistan,11.768277,-1.143326153437895,Uzbekistan,50.466,50.63818181818181
