Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.77232348918915,..,..,..,1.78697001934052,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,1.38848280906677,1.41832685470581,1.46420335769653,1.40849888324738,1.37673902511597,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.03326261043549,..,..,..,0.960431396961212,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,1.34516000747681,..,..,..,1.30255973339081,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,1.07740151882172,..,..,..,0.894258081912994,..,..
Australia,AUS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.45931279659271,..,..,..,1.49286460876465,..,..
Australia,AUS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,1.49451899528503,1.51099765300751,1.52552902698517,1.49577379226685,1.48418915271759,..,..
Australia,AUS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.24983322620392,..,..,..,1.24232876300812,..,..
Australia,AUS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,1.48672199249268,..,..,..,1.45573461055756,..,..
Australia,AUS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,1.98929631710052,..,..,..,1.59718894958496,..,..
Austria,AUT,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,0.955763757228851,..,..,..,0.944778084754944,..,..
Austria,AUT,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,0.820205867290497,0.817260444164276,0.787023484706879,0.77325576543808,0.741225302219391,..,..
Austria,AUT,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.67233806848526,..,..,..,0.596131861209869,..,..
Austria,AUT,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,0.813081741333008,..,..,..,0.735353767871857,..,..
Austria,AUT,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,0.80375212430954,..,..,..,0.627700567245483,..,..
